file	repo	commit	committed	downloaded
Outfit-Light.ttf	Outfitio/Outfit-Fonts	902773808eb372f70fb34e8946dd1ffe604efc79	2023-03-26	2026-09-24
Outfit-Regular.ttf	Outfitio/Outfit-Fonts	902773808eb372f70fb34e8946dd1ffe604efc79	2023-03-26	2026-09-24
Outfit-Medium.ttf	Outfitio/Outfit-Fonts	902773808eb372f70fb34e8946dd1ffe604efc79	2023-03-26	2026-09-24
Outfit-SemiBold.ttf	Outfitio/Outfit-Fonts	902773808eb372f70fb34e8946dd1ffe604efc79	2023-03-26	2026-09-24
Outfit-Bold.ttf	Outfitio/Outfit-Fonts	902773808eb372f70fb34e8946dd1ffe604efc79	2023-03-26	2026-09-24
OFL-Outfit.txt	Outfitio/Outfit-Fonts	902773808eb372f70fb34e8946dd1ffe604efc79	2023-03-26	2026-09-24
IBMPlexMono-Regular.ttf	google/fonts	b5efa9c32e8f9b63005f5cdb1ad5527a77d2cd04	2026-09-23	2026-09-24
IBMPlexMono-Medium.ttf	google/fonts	b5efa9c32e8f9b63005f5cdb1ad5527a77d2cd04	2026-09-23	2026-09-24
IBMPlexMono-SemiBold.ttf	google/fonts	b5efa9c32e8f9b63005f5cdb1ad5527a77d2cd04	2026-09-23	2026-09-24
OFL-IBMPlexMono.txt	google/fonts	b5efa9c32e8f9b63005f5cdb1ad5527a77d2cd04	2026-09-23	2026-09-24
